tooth,sex,stage,stage_index,ln_mu,ln_sigma,mode,median,mean,sd,hpd_low,opt,hpd_high
P3,male,R1_4,8,2.2077,0.1146,8.976,9.0948,9.1547,1.0529,7.26,9.09,11.39
P3,male,R1_2,9,2.3537,0.1028,10.4144,10.525,10.5807,1.0903,8.6,10.52,12.89
P3,male,R3_4,10,2.4394,0.1017,11.3481,11.4662,11.5257,1.1756,9.38,11.47,14.01
P3,male,Rc,11,2.5197,0.102,12.2968,12.4255,12.4903,1.2776,10.16,12.43,15.19
P3,male,A1_2,12,2.599,0.1016,13.3127,13.4507,13.5203,1.3768,11.01,13.45,16.43
P4,female,Ci,1,1.3327,0.1178,3.739,3.7913,3.8177,0.4513,3,3.79,4.78
P4,female,Cco,2,1.4329,0.1162,4.1349,4.191,4.2194,0.4918,3.33,4.19,5.27
P4,female,Coc,3,1.5412,0.1192,4.6046,4.6704,4.7037,0.5625,3.69,4.67,5.91
P4,female,Cr1_2,4,1.6716,0.1196,5.2448,5.3204,5.3586,0.6432,4.2,5.32,6.74
P4,female,Cr3_4,5,1.8235,0.1236,6.0996,6.1935,6.241,0.7744,4.85,6.19,7.9
P4,female,Crc,6,1.974,0.1193,7.0973,7.1991,7.2505,0.8683,5.69,7.2,9.11
P4,female,Ri,7,2.0884,0.1169,7.9625,8.072,8.1273,0.953,6.41,8.07,10.17
P4,female,R1_4,8,2.2191,0.1226,9.0623,9.1995,9.2689,1.1407,7.22,9.2,11.72
P4,female,R1_2,9,2.3478,0.1166,10.3218,10.463,10.5344,1.2323,8.31,10.46,13.17
P4,female,R3_4,10,2.465,0.1202,11.5947,11.7635,11.8488,1.4295,9.28,11.76,14.91
P4,female,Rc,11,2.5819,0.1164,13.0439,13.2219,13.3118,1.555,10.51,13.22,16.64
P4,female,A1_2,12,2.6555,0.1136,14.0497,14.2322,14.3243,1.6325,11.36,14.24,17.84
P4,male,Ci,1,1.3144,0.1163,3.6725,3.7225,3.7478,0.4373,2.96,3.72,4.68
P4,male,Cco,2,1.42,0.1155,4.0823,4.1371,4.1648,0.4826,3.29,4.14,5.2
